id,created_at,text
1366622140708122625,2021-03-02 05:31:23,"b""RT @alainakings: the fact that teachers in Texas haven't been prioritized for COVID vaccines while Texas is one of 4 states that mandated s\xe2\x80\xa6"""
1366622139458203652,2021-03-02 05:31:23,"b'RT @CNN: Moderna, Pfizer and now Johnson &amp; Johnson will deliver enough doses to fully vaccinate 130 million people \xe2\x80\x94 more than one-third of\xe2\x80\xa6'"
1366622137793056769,2021-03-02 05:31:22,b'RT @woye1: Covid -19 vaccination: You can register via This portal :  https://t.co/lyCqH7KVjn'
1366622137662906368,2021-03-02 05:31:22,"b'RT @benshapiro: ""Obviously I cannot cover it because he is my brother"" might have been a relevant sentence for the last year of sycophantic\xe2\x80\xa6'"
1366622137235169280,2021-03-02 05:31:22,b'RT @MaryLTrump: The Disgraced Former Occupant convinced tens of millions of people that Covid was a hoax and did nothing to stop the spread\xe2\x80\xa6'
1366622136853356544,2021-03-02 05:31:22,"b'RT @DanielPruce: Thank you @lenirobredo for a great discussion today covering so many issues of shared interest, including #Covid, typhoon\xe2\x80\xa6'"
1366622136576577537,2021-03-02 05:31:22,"b'RT @bpolitics: China plans to vaccinate 40% of its 1.4 billion people against Covid-19 by the end of June, the country\xe2\x80\x99s top health expert\xe2\x80\xa6'"
1366622135452655618,2021-03-02 05:31:22,"b""RT @alainakings: the fact that teachers in Texas haven't been prioritized for COVID vaccines while Texas is one of 4 states that mandated s\xe2\x80\xa6"""
1366622134475182081,2021-03-02 05:31:22,b'RT @ABSCBNNews: DO NOT JUDGE. Pasig City Mayor Vico Sotto told Pasig frontliners and residents that they would not be forced to avail of an\xe2\x80\xa6'
1366622133175144448,2021-03-02 05:31:21,"b""RT @paulvieira: Canada's Liberal Govt said Monday it would ignore the advice of a top panel of scientists that recommended the Covid-19 vac\xe2\x80\xa6"""
1366622133128818688,2021-03-02 05:31:21,b'@nogod_pinesnake @ScientistMel @StickProfessor I think it would depend on whether the donated blood contained any c\xe2\x80\xa6 https://t.co/FzcmsWxhso'
