id,created_at,text
1369329206241472517,2021-03-09 16:48:18,b'@mariannescott44 I\xe2\x80\x99ve been saying the same thing. We are living in the middle of a war and those administering the\xe2\x80\xa6 https://t.co/Y6JyZuJU5c'
1369249038835585025,2021-03-09 11:29:44,b'Wellington-Dufferin-Guelph Public Health Unit says vaccination pre-registration for those 70 &amp; over is now open https://t.co/6G3PHzSFFA'
1369246465999126535,2021-03-09 11:19:31,b'RT @MercuryTribune: More people in Guelph can now pre-register for an appointment to get their COVID-19 vaccination. https://t.co/G8V4MOOeD0'
1369246301540466688,2021-03-09 11:18:52,b'Ontario listed pregnancy as a factor putting someone at risk for hospitalization or death from COVID-19 as they rel\xe2\x80\xa6 https://t.co/xi55imsfS3'
1369141779707101188,2021-03-09 04:23:32,b'RT @MercuryTribune: More people in Guelph can now pre-register for an appointment to get their COVID-19 vaccination. https://t.co/G8V4MOOeD0'
1369135654605647878,2021-03-09 03:59:12,b'RT @MercuryTribune: More people in Guelph can now pre-register for an appointment to get their COVID-19 vaccination. https://t.co/G8V4MOOeD0'
1369132710686560256,2021-03-09 03:47:30,b'RT @MercuryTribune: More people in Guelph can now pre-register for an appointment to get their COVID-19 vaccination. https://t.co/G8V4MOOeD0'
1369131028091179008,2021-03-09 03:40:48,b'More people in Guelph can now pre-register for an appointment to get their COVID-19 vaccination. https://t.co/G8V4MOOeD0'
1369104760155103235,2021-03-09 01:56:26,b'@GPmedia_24 @AnitaOakville @Jo_Brant @RegionofHalton @HaltonMedics207 @MariannMeedWard @karinagould Public Health G\xe2\x80\xa6 https://t.co/t9A1njp4XU'
1368590235039367171,2021-03-07 15:51:53,"b'Just booked my first vaccination. Oddly, in Guelph, between now and the end of the year there was only one day available.'"
1368519418507067392,2021-03-07 11:10:29,b'It\xe2\x80\x99s lovely to see so many folks in the region pulling together to make this happen. Thank you to all of the people\xe2\x80\xa6 https://t.co/jfsV97kxoG'
1368516853513994242,2021-03-07 11:00:18,b'Waterloo Region and the Guelph area are getting ready to shift their COVID-19 vaccine programs into a higher gear.\xe2\x80\x8b  https://t.co/tTU8skRJge'
1368421126687371265,2021-03-07 04:39:55,b'RT @CTVKitchener: Waterloo Region and the Guelph area are getting ready to shift their COVID-19 vaccine programs into a higher gear.\xe2\x80\x8b  http\xe2\x80\xa6'
1368418678685974529,2021-03-07 04:30:11,b'Waterloo Region and the Guelph area are getting ready to shift their COVID-19 vaccine programs into a higher gear.\xe2\x80\x8b  https://t.co/vCybcO5HRP'
1368351685505126401,2021-03-07 00:03:59,"b""Does anyone know if we are testing waste water in #Guelph and what it shows? Personally, I'm hoping to avoid a 3rd\xe2\x80\xa6 https://t.co/qzr6Z4k3hl"""
