id,created_at,text
1366855832089075713,2021-03-02 20:59:59,b'@instablog9ja I no see covid na vaccine I go come see God forbid'
1366855829438177282,2021-03-02 20:59:59,b'Gavin Newsom: Include ALL Diabetics in the next phase of the COVID vaccine rollout in California - Sign the Petitio\xe2\x80\xa6 https://t.co/Eg9Bxqk18v'
1366855829178130433,2021-03-02 20:59:59,"b'My good friend\xe2\x80\x94athletic, in her 50s\xe2\x80\x94- called 2 months ago to say she had COVID and it\xe2\x80\x99s \xe2\x80\x9cjust the flu.\xe2\x80\x9d 3 weeks lat\xe2\x80\xa6 https://t.co/e02FAUwSFj'"
1366855829178126336,2021-03-02 20:59:59,b'@UditSood1 Covid 19 k zamane mei \xf0\x9f\x99\x8f is better than hugging..'
1366855828444225540,2021-03-02 20:59:59,b'@Angieeclectic @Councillorsuzie Most deaths were recorded as covid-19 without even an autopsy in the UK.'
1366855828016410630,2021-03-02 20:59:59,b'@ShutDown_DC Medical experts are worried that bc Covid numbers are slightly down and vaccine rollout is starting pe\xe2\x80\xa6 https://t.co/DJvURC3Vrl'
1366855827487920128,2021-03-02 20:59:58,b'Covid-19 in the air \xf0\x9f\x98\xb7'
1366855827122839554,2021-03-02 20:59:58,"b'Trash move! \xf0\x9f\x92\xa2\nCovid-19 live updates: Texas ends mask requirement, the largest state yet to do so, at critical momen\xe2\x80\xa6 https://t.co/zyX4upCqQx'"
1366855826992939014,2021-03-02 20:59:58,b'@BBCWorld Covid?'
1366855826720190464,2021-03-02 20:59:58,b'@MeriBythebeach Cause no more COVID BS'
1366855825726337025,2021-03-02 20:59:58,b'@ChristineNiles1 @Mary007Mighty @GregAbbott_TX Oh yeah? Come volunteer on my Covid unit! \xf0\x9f\x98\xa1'
1366855825516617729,2021-03-02 20:59:58,b'@ByMHarrington I am not comparing it to a normal schedule. The Devils were on pause because of Covid and have been\xe2\x80\xa6 https://t.co/b8g9eg95oS'
1366855824933605376,2021-03-02 20:59:58,b'i wish greg abbott a very covid https://t.co/LIBKspqC5Y'
1366855824832831490,2021-03-02 20:59:58,b'@marybethpf @AGDeLorenzi I wonder how many saved lives if @Merck stood by their own cheap repurposed drug\xe2\x80\xa6 https://t.co/RvR684YAB5'
