id,created_at,text
1366624530114826242,2021-03-02 05:40:53,b'@ichymochek You and I disagree on most of the covid stuff but this is just bananas. Less drugs come into the state\xe2\x80\xa6 https://t.co/LduZ5YxYbO'
1366624530043576320,2021-03-02 05:40:53,b'Lmfaooooo me and Scott almost died during Covid. Bc this nigga can\xe2\x80\x99t let shit go. I almost killed him.'
1366624527111704576,2021-03-02 05:40:52,b'@NICKIMINAJ I remember when she were helping pay off student loans. Covid sucks and we\xe2\x80\x99re trying to knock out last\xe2\x80\xa6 https://t.co/1OOBs8yiKU'
1366624527069945858,2021-03-02 05:40:52,"b'@MarkHackel 3 Dozen Cases of Spontaneous Miscarriages, Stillbirths Occurring After COVID-19 Vaccination\xe2\x80\xa6 https://t.co/QB8aNYwslw'"
1366624524767268864,2021-03-02 05:40:52,b'SetoPati: Twitter cracks down on COVID vaccine misinformation -  https://t.co/3Wkbsfo1u4'
1366624523848716292,2021-03-02 05:40:51,"b""SetoPati: 'Premature,' 'unrealistic' to think COVID-19 will end soon: WHO -  https://t.co/BOpqXSrBFt"""
1366624523546632192,2021-03-02 05:40:51,b'Happy birthday Covid-19 cabang Indonesia \xf0\x9f\x96\x95\xf0\x9f\x96\x95\xf0\x9f\x96\x95'
1366624522363826176,2021-03-02 05:40:51,"b'Unless much greater volumes are made, many people in developing nations may not get #Covid vaccines until 2024, a s\xe2\x80\xa6 https://t.co/6SpudDVSia'"
1366624512758849536,2021-03-02 05:40:49,b'My parents have tested positive for covid-19. Please #Rubiholics pray for them.\n#RubinaDilaik \n@RubiDilaik \nSTOP BEING JEALOUS OF RUBINA'
1366624510942797825,2021-03-02 05:40:48,b'@ShAmazing_one thank you!!! \xf0\x9f\x92\x96 hope we can meet up after covid!!'
1366624508346388480,2021-03-02 05:40:48,"b""'Laga bhi diya...': What PM Modi told AIIMS nurse after receiving Covid vaccine\nhttps://t.co/RsjvKjsbQZ via NaMo App https://t.co/0Bb0BUdMFf"""
1366624502000533507,2021-03-02 05:40:46,b'@nara_challa @sumanthraman When there is new disease like Covid-19 killing thousands of people then well intentione\xe2\x80\xa6 https://t.co/E0kkK2mmP8'
1366624501904125953,2021-03-02 05:40:46,"b'@xtiandela Ask kimunya, DCI and statehouse about covid billionaires'"
